# Nintendo Publishers
# Format: ID|Name

# References:
# - https://www.gametdb.com/Wii
# - https://www.gametdb.com/Wii/Downloads
# - https://wiki.nesdev.com/w/index.php/Family_Computer_Disk_System#Manufacturer_codes

#\x00\x00|<unlicensed>	# Not supported by parser; script will add this manually.
00|<unlicensed>
D8|Capcom Co., Ltd.
D9|Banpresto
DA|Tomy
DB|LJN Japan
DD|NCS
DE|Human Entertainment
DF|Altron
DG|Jaleco
DH|Gaps Inc.
DN|Elf
DQ|Compile Heart
DV|FarSight Studios
E0|Jaleco
E2|Yutaka
E3|Varie
E4|T&ESoft
E5|Epoch
E7|Athena
E8|Asmik
E9|Natsume
EA|King Records
EB|Atlus
EC|Epic / Sony Records
EE|IGS (Information Global Service)
EG|Chatnoir
EH|Right Stuff
EL|Spike
EM|Konami Computer Entertainment Tokyo
EN|Alphadream Corporation
EP|Sting
ES|Star-Fish
F0|A Wave
F1|Motown Software
F2|Left Field Entertainment
F3|Extreme Ent. Grp.
F4|TecMagik
F9|Cybersoft
FB|Psygnosis
FE|Davidson / Western Tech.
FK|The Game Factory
FL|Hip Games
FM|Aspyr
FP|Mastiff
FQ|iQue
FR|Digital Tainment Pool
FS|XS Games / Jack Of All Games
FT|Daewon Media
G0|Alpha Unit
G1|PCCW Japan
G2|Yuke's Media Creations
G4|KiKi Co Ltd
G5|Open Sesame Inc
G6|Sims
G7|Broccoli
G8|Avex
G9|D3 Publisher
GB|Konami Computer Entertainment Japan
GD|Square-Enix
GE|KSG
GF|Micott & Basara Inc.
GG|O3 Entertainment
GH|Orbital Media
GJ|Detn8 Games
GL|Gameloft / Ubi Soft
GM|Gamecock Media Group
GN|Oxygen Games
GT|505 Games
GY|The Game Factory
H1|Treasure
H2|Aruze
H3|Ertain
H4|SNK Playmore
HF|Level-5
HJ|Genius Products
HY|Reef Entertainment
HZ|Nordcurrent
IH|Yojigen
J9|AQ Interactive
JF|Arc System Works
JJ|Deep Silver
JW|Atari
K6|Nihon System
KB|NIS America
KM|Deep Silver
KP|Purple Hills
LH|Trend Verlag / East Entertainment
LT|Legacy Interactive
ME|SilverStar Games
MJ|Mumbo Jumbo
MR|Mindscape
MS|Milestone / UFO Interactive
MT|Blast !
N9|Terabox
NG|Nordic Games
NK|Neko Entertainment / Diffusion / Naps team
NP|Nobilis
NQ|Namco Bandai
NR|Data Design / Destineer Studios
NS|NIS America
PG|Phoenix Games
PL|Playlogic
RM|Rondomedia
RS|Warner Bros. Interactive Entertainment Inc.
RT|RTL Games
RW|RealNetworks
S5|Southpeak Interactive
SP|Blade Interactive Studios
SV|SevenGames
SZ|Storm City
TK|Tasuke / Works
TV|Tivola
UG|Metro 3D / Data Design
VN|Valcon Games
VP|Virgin Play
VZ|Little Orbit
WR|Warner Bros. Interactive Entertainment Inc.
XJ|Xseed Games
XS|Aksys Games
XT|Fun Box Media
YF|O2 Games
YM|Bergsala Lightweight
YT|Valcon Games
Z1|Barunson Creative
Z4|Ntreev Soft
ZA|WBA Interactive
ZH|Internal Engine
ZS|Zinkia
ZW|Judo Baby
ZX|Topware Interactive
